Id,I.0408,I.0409,I.0424,I.0525
wavelength_nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm
931,2.869219,-0.00699,27.279,-0.059868
932,2.856885,0.000745,27.34,-0.082356
933,2.77819,-0.008802,27.4,-0.080247
934,2.83654,-0.002774,27.412,-0.037253
935,2.868762,-0.003246,27.416,-0.080883
936,3.162607,-0.007105,27.415,0.001171
937,3.859011,0.003816,27.404,-0.057707
938,4.698278,0.003786,27.361,-0.130037
939,5.390404,0.00429,27.398,-0.021833
940,5.273694,0.008112,27.454,0.003144
941,4.748896,0.001683,27.515,0.004055
942,4.304468,0.000142,27.556,-0.04268
943,3.623914,-0.008242,27.642,-0.05218
944,3.208344,-0.004385,27.778,-0.026245
945,3.09533,-0.018995,27.884,-0.009339
946,3.072952,-0.016266,27.992,-0.02812
947,3.00357,0.009466,28.063,-0.028056
948,3.020095,-0.004189,28.18,-0.046985
949,3.154606,0.00365,28.203,0.018972
950,3.439501,0.011137,28.309,-0.091156
951,3.76546,0.000663,28.428,-0.197428
952,3.732763,0.00717,28.462,-0.158397
953,3.264264,-0.011762,28.529,-0.210819
954,2.591088,-0.006843,28.614,-0.145611
955,1.952278,0.003633,28.635,-0.034366
956,1.475772,0.018911,28.721,0.029525
957,1.082819,0.0105,28.763,-0.014774
958,0.816525,-0.000645,28.835,-0.053447
959,0.643663,-0.009421,28.866,-0.032379
960,0.550285,0.008666,28.979,-0.00443
961,0.500067,-0.008922,29.034,-0.078622
962,0.449047,-0.004907,29.058,-0.145742
963,0.420371,-0.005652,29.142,-0.077076
964,0.405739,-0.001647,29.102,-0.082241
965,0.411862,7.5E-05,29.213,-0.122464
966,0.42577,-0.002165,29.267,-0.036659
967,0.443481,-0.011133,29.293,-0.122277
968,0.541886,-0.011308,29.358,-0.165768
969,0.633393,0.015988,29.401,-0.032308
970,0.707336,-0.005325,29.439,0.100789
971,0.759114,-0.000733,29.452,0.046815
972,0.7858,-0.021248,29.638,-0.038698
